pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
24,Quebec,QuÃ©bec,4/3/2020,,6101,0,61,6101,83570,82742,,,9746,9650,583,10.57,71.15,0.71,25,1,9028,6364,,99,6040,70.44,5962,69.53,60,0.7,4080,47.58,43,0.5,583,6.8,6,0.07,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/3/2020,,183,0,1,183,3136,4241,,,6006,8123,0,0,35.05,0.19,0,0.55,232,132,,99.45,182,34.86,179,34.28,1,0.19,81,15.51,1,0.19,12,2.22,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,4/3/2020,,95,0,0,95,5036,4872,,,6444,6234,4,4.4,12.16,0,0,0,411,457,,100,95,12.16,84,10.75,0,0,50,6.4,0,0,7,0.91,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,4/3/2020,,207,0,0,207,8799,7792,,,8985,7956,14,7.25,21.14,0,0,0,740,894,,100,207,21.14,192,19.6,0,0,117,11.95,0,0,17,1.71,0,0,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/3/2020,,22,0,0,22,653,587,,,4091,3677,0,0,13.78,0,0,0,0,0,,100,22,13.78,20,12.53,0,0,11,6.89,0,0,2,0.98,0,0,0
60,Yukon,Yukon,4/3/2020,,6,0,0,6,753,643,,,17906,15291,0,0,14.27,0,0,0,11,3,,100,6,14.27,6,14.27,0,0,3,7.13,0,0,0,1.02,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/3/2020,,4,0,0,4,1109,957,,,24557,21191,2,100,8.86,0,0,0,140,11,,100,4,8.86,4,8.86,0,0,3,6.64,0,0,0,0.95,0,0,0
62,Nunavut,Nunavut,4/3/2020,,0,0,0,0,207,136,,,5260,3456,0,0,0,0,0,,14,39,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/3/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/3/2020,,12519,18,187,12537,295141,223618,,,7766,5884,1254,11.11,32.99,0.49,49,1.49,21399,14858,,98.51,12350,32.5,11533,30.35,174,0.46,7848,20.65,134,0.35,1121,2.95,19,0.05,0
59,British Columbia,Colombie-Britannique,4/4/2020,,1203,0,38,1203,40771,45131,705,58.6,7920,8767,29,2.47,23.37,0.74,3,3.16,845,1145,64,38.24,460,8.94,779,15.13,28,0.54,319,6.2,22,0.43,46,0.89,3,0.06,1.24
48,Alberta,Alberta,4/4/2020,,1075,0,18,1075,62520,60036,,,14139,13577,0,0,24.31,0.41,0,1.67,2012,4009,,98.33,1057,23.9,849,19.2,17,0.38,533,12.05,16,0.36,76,1.72,2,0.05,0
47,Saskatchewan,Saskatchewan,4/4/2020,,231,0,3,231,12244,11196,,,10388,9499,11,5,19.6,0.25,0,1.3,524,717,,98.7,228,19.34,187,15.87,3,0.25,97,8.23,3,0.25,14,1.18,0,0.04,0
46,Manitoba,Manitoba,4/4/2020,,172,22,2,194,12191,11734,,,8839,8507,12,6.59,14.07,0.15,0,1.03,541,626,,98.97,192,13.92,175,12.69,2,0.15,130,9.43,1,0.07,19,1.35,0,0.01,0
35,Ontario,Ontario,4/4/2020,,3630,0,94,3630,72674,0,,,4932,,375,11.52,24.64,0.64,27,2.59,4676,0,,97.41,3536,24,3253,22.08,91,0.62,2637,17.9,76,0.52,377,2.56,11,0.07,0
24,Quebec,QuÃ©bec,4/4/2020,,6997,0,75,6997,90227,89536,,,10523,10442,896,14.69,81.6,0.87,14,1.07,6657,6794,,98.93,6922,80.73,6776,79.02,71,0.83,4499,52.47,53,0.62,643,7.5,8,0.09,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/4/2020,,195,0,1,195,3345,4558,,,6407,8730,12,6.56,37.35,0.19,0,0.51,209,317,,99.49,194,37.16,189,36.2,1,0.19,75,14.36,1,0.19,11,2.05,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,4/4/2020,,98,0,0,98,5297,5228,,,6778,6690,3,3.16,12.54,0,0,0,261,356,,100,98,12.54,81,10.37,0,0,47,6.01,0,0,7,0.86,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,4/4/2020,,236,0,0,236,9722,8620,,,9927,8802,29,14.01,24.1,0,0,0,923,828,,100,236,24.1,215,21.95,0,0,126,12.87,0,0,18,1.84,0,0,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/4/2020,,22,0,0,22,839,689,,,5256,4316,0,0,13.78,0,0,0,186,102,,100,22,13.78,20,12.53,0,0,11,6.89,0,0,2,0.98,0,0,0
60,Yukon,Yukon,4/4/2020,,6,0,0,6,765,644,,,18192,15314,0,0,14.27,0,0,0,12,1,,100,6,14.27,6,14.27,0,0,2,4.76,0,0,0,0.68,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/4/2020,,4,0,0,4,1169,1096,,,25885,24269,0,0,8.86,0,0,0,60,139,,100,4,8.86,3,6.64,0,0,3,6.64,0,0,0,0.95,0,0,0
62,Nunavut,Nunavut,4/4/2020,,0,0,0,0,207,163,,,5260,4142,0,0,0,0,0,,0,27,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/4/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/4/2020,,13882,22,231,13904,312047,238679,,,8211,6280,1367,10.9,36.58,0.61,44,1.66,16906,15061,,98.34,13673,35.98,12533,32.98,213,0.56,8479,22.31,172,0.45,1211,3.19,25,0.06,0
59,British Columbia,Colombie-Britannique,4/5/2020,,1203,0,38,1203,41556,46346,704,58.52,8073,9003,0,0,23.37,0.74,0,3.16,785,1215,-1,38.32,461,8.96,779,15.13,28,0.54,319,6.2,21,0.41,46,0.89,3,0.06,-0.02
48,Alberta,Alberta,4/5/2020,,1250,0,23,1250,63315,61759,240,19.2,14319,13967,175,16.28,28.27,0.52,5,1.84,795,1723,240,78.96,987,22.32,991,22.41,22,0.5,629,14.22,21,0.47,90,2.03,3,0.07,5.43
47,Saskatchewan,Saskatchewan,4/5/2020,,249,0,3,249,13055,11754,55,22.09,11076,9972,18,7.79,21.13,0.25,0,1.2,811,558,55,76.71,191,16.2,197,16.71,3,0.25,115,9.76,3,0.25,16,1.39,0,0.04,4.67
46,Manitoba,Manitoba,4/5/2020,,187,16,2,203,12771,12301,17,8.37,9259,8919,9,4.64,14.72,0.15,0,0.99,580,567,17,90.64,184,13.34,184,13.34,2,0.15,131,9.5,1,0.07,19,1.36,0,0.01,1.23
35,Ontario,Ontario,4/5/2020,,4038,0,119,4038,76027,0,1219,30.19,5160,,408,11.24,27.41,0.81,25,2.95,3353,0,1219,66.86,2700,18.32,3613,24.52,114,0.77,2683,18.21,100,0.68,383,2.6,14,0.1,8.27
24,Quebec,QuÃ©bec,4/5/2020,,7944,0,94,7944,95955,96627,0,0,11191,11269,947,13.53,92.65,1.1,19,1.18,5728,7091,0,98.82,7850,91.55,7723,90.07,90,1.05,5104,59.52,72,0.84,729,8.5,10,0.12,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/5/2020,,217,0,1,217,3556,4811,11,5.07,6811,9215,22,11.28,41.56,0.19,0,0.46,211,253,11,94.47,205,39.26,208,39.84,1,0.19,82,15.71,1,0.19,12,2.24,0,0.03,2.11
13,New Brunswick,Nouveau-Brunswick,4/5/2020,,101,0,0,101,5421,5446,28,27.72,6937,6969,3,3.06,12.92,0,0,0,124,218,28,72.28,73,9.34,84,10.75,0,0,35,4.48,0,0,5,0.64,0,0,3.58
12,Nova Scotia,Nouvelle-Ã‰cosse,4/5/2020,,262,0,0,262,10084,9405,50,19.08,10297,9603,26,11.02,26.75,0,0,0,362,785,50,80.92,212,21.65,234,23.89,0,0,140,14.3,0,0,20,2.04,0,0,5.11
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/5/2020,,22,0,0,22,839,689,6,27.27,5256,4316,0,0,13.78,0,0,0,0,0,6,72.73,16,10.02,19,11.9,0,0,11,6.89,0,0,2,0.98,0,0,3.76
60,Yukon,Yukon,4/5/2020,,6,0,0,6,770,686,4,66.67,18311,16313,0,0,14.27,0,0,0,5,42,4,33.33,2,4.76,6,14.27,0,0,2,4.76,0,0,0,0.68,0,0,9.51
61,Northwest Territories,Territoires du Nord-Ouest,4/5/2020,,4,0,0,4,1215,1136,1,25,26904,25154,0,0,8.86,0,0,0,46,40,1,75,3,6.64,3,6.64,0,0,3,6.64,0,0,0,0.95,0,0,2.21
62,Nunavut,Nunavut,4/5/2020,,0,0,0,0,227,163,0,N/A,5768,4142,0,0,0,0,0,,20,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/5/2020,,13,0,0,13,76,48,12,92.31,,,0,0,,,0,0,0,0,12,7.69,1,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/5/2020,,15496,16,280,15512,324861,251171,2335,15.05,8548,6609,1608,11.57,40.82,0.74,49,1.81,12814,12492,2335,83.14,12897,33.93,14041,36.94,260,0.68,9254,24.35,219,0.58,1322,3.48,31,0.08,6.14
59,British Columbia,Colombie-Britannique,4/6/2020,,1266,0,39,1266,42665,47593,783,61.85,8288,9245,63,5.24,24.59,0.76,1,3.08,1109,1247,79,35.07,444,8.63,794,15.42,26,0.51,306,5.94,20,0.39,44,0.85,3,0.06,1.53
48,Alberta,Alberta,4/6/2020,,1348,0,24,1348,64183,63566,361,26.78,14515,14375,98,7.84,30.48,0.54,1,1.78,868,1807,121,71.44,963,21.78,1047,23.68,23,0.52,658,14.88,16,0.36,94,2.13,2,0.05,2.74
47,Saskatchewan,Saskatchewan,4/6/2020,,253,0,3,253,13680,12612,81,32.02,11606,10700,4,1.61,21.46,0.25,0,1.19,625,858,26,66.8,169,14.34,187,15.87,3,0.25,78,6.62,1,0.08,11,0.95,0,0.01,2.21
46,Manitoba,Manitoba,4/6/2020,,190,14,2,204,13788,12789,17,8.33,9997,9272,1,0.49,14.79,0.15,0,0.98,1017,488,0,90.69,185,13.41,184,13.34,2,0.15,108,7.83,1,0.07,15,1.12,0,0.01,0
35,Ontario,Ontario,4/6/2020,,4347,0,132,4347,79125,0,1624,37.36,5370,,309,7.65,29.5,0.9,13,3.04,3098,0,405,59.6,2591,17.59,3844,26.09,126,0.86,2641,17.92,99,0.67,377,2.56,14,0.1,2.75
24,Quebec,QuÃ©bec,4/6/2020,,8580,0,121,8580,100113,101647,611,7.12,11676,11854,636,8.01,100.06,1.41,27,1.41,4158,5020,611,91.47,7848,91.53,7952,92.74,117,1.36,5150,60.06,96,1.12,736,8.58,14,0.16,7.13
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/6/2020,,226,0,2,226,3776,5079,32,14.16,7232,9728,9,4.15,43.29,0.38,1,0.88,220,268,21,84.96,192,36.77,202,38.69,2,0.38,78,14.94,1,0.19,11,2.13,0,0.03,4.02
13,New Brunswick,Nouveau-Brunswick,4/6/2020,,103,0,0,103,5678,5717,30,29.13,7266,7316,2,1.98,13.18,0,0,0,257,271,2,70.87,73,9.34,86,11,0,0,35,4.48,0,0,5,0.64,0,0,0.26
12,Nova Scotia,Nouvelle-Ã‰cosse,4/6/2020,,293,0,0,293,10738,9997,64,21.84,10964,10208,31,11.83,29.92,0,0,0,654,592,14,78.16,229,23.38,252,25.73,0,0,166,16.95,0,0,24,2.42,0,0,1.43
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/6/2020,,22,0,0,22,839,875,8,36.36,5256,5482,0,0,13.78,0,0,0,0,186,2,63.64,14,8.77,19,11.9,0,0,4,2.51,0,0,1,0.36,0,0,1.25
60,Yukon,Yukon,4/6/2020,,7,0,0,7,775,694,4,57.14,18430,16503,1,16.67,16.65,0,0,0,5,8,0,42.86,3,7.13,5,11.89,0,0,2,4.76,0,0,0,0.68,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/6/2020,,5,0,0,5,1217,1187,1,20,26948,26284,1,25,11.07,0,0,0,2,51,0,80,4,8.86,4,8.86,0,0,4,8.86,0,0,1,1.27,0,0,0
62,Nunavut,Nunavut,4/6/2020,,0,0,0,0,229,175,0,N/A,5819,4447,0,0,0,0,0,,2,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/6/2020,,13,0,0,13,76,48,12,92.31,,,0,0,,,0,0,0,0,0,7.69,1,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/6/2020,,16653,14,323,16667,336882,261979,3616,21.7,8864,6893,1155,7.45,43.85,0.85,43,1.94,12021,10808,1281,76.37,12728,33.49,14576,38.35,299,0.79,9230,24.29,234,0.62,1319,3.47,33,0.09,3.37
59,British Columbia,Colombie-Britannique,4/7/2020,,1291,0,43,1291,43257,48356,783,60.65,8403,9394,25,1.97,25.08,0.84,4,3.33,592,763,0,36.02,465,9.03,674,13.09,30,0.58,321,6.24,24,0.47,46,0.89,3,0.07,0
48,Alberta,Alberta,4/7/2020,,1373,0,26,1373,65265,64751,,,14760,14643,25,1.85,31.05,0.59,2,1.89,1082,1185,,98.11,1347,30.46,1015,22.95,24,0.54,619,14,17,0.38,88,2,2,0.05,0
47,Saskatchewan,Saskatchewan,4/7/2020,,260,0,3,260,14203,13262,,,12050,11252,7,2.77,22.06,0.25,0,1.15,523,650,,98.85,257,21.8,188,15.95,3,0.25,76,6.45,1,0.08,11,0.92,0,0.01,0
46,Manitoba,Manitoba,4/7/2020,,203,14,3,217,13990,13247,,,10143,9604,13,6.37,15.73,0.22,1,1.38,202,458,,98.62,214,15.52,196,14.21,3,0.22,114,8.27,2,0.15,16,1.18,0,0.02,0
35,Ontario,Ontario,4/7/2020,,4726,0,153,4726,82055,0,,,5569,,379,8.72,32.08,1.04,21,3.24,2930,0,,96.76,4573,31.04,4138,28.08,145,0.98,2760,18.73,120,0.81,394,2.68,17,0.12,0
24,Quebec,QuÃ©bec,4/7/2020,,9340,0,150,9340,104526,105244,,,12190,12274,760,8.86,108.93,1.75,29,1.61,4413,3597,,98.39,9190,107.18,8327,97.11,146,1.7,5178,60.39,119,1.39,740,8.63,17,0.2,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/7/2020,,228,0,2,228,3958,5296,,,7581,10144,2,0.88,43.67,0.38,0,0.88,182,217,,99.12,226,43.29,193,36.97,2,0.38,76,14.56,1,0.19,11,2.08,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,4/7/2020,,105,0,0,105,6102,5996,,,7808,7673,2,1.94,13.44,0,0,0,424,279,,100,105,13.44,87,11.13,0,0,35,4.48,0,0,5,0.64,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,4/7/2020,,310,0,0,310,11559,10647,,,11803,10871,17,5.8,31.65,0,0,0,821,650,,100,310,31.65,259,26.45,0,0,163,16.64,0,0,23,2.38,0,0,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/7/2020,,22,0,0,22,939,875,,,5883,5482,0,0,13.78,0,0,0,100,0,,100,22,13.78,19,11.9,0,0,1,0.63,0,0,0,0.09,0,0,0
60,Yukon,Yukon,4/7/2020,,7,0,0,7,787,694,,,18715,16503,0,0,16.65,0,0,0,12,0,,100,7,16.65,5,11.89,0,0,2,4.76,0,0,0,0.68,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/7/2020,,5,0,0,5,1230,1232,,,27236,27280,0,0,11.07,0,0,0,13,45,,100,5,11.07,4,8.86,0,0,4,8.86,0,0,1,1.27,0,0,0
62,Nunavut,Nunavut,4/7/2020,,0,0,0,0,234,177,,,5946,4498,0,0,0,0,0,,5,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/7/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/7/2020,,17883,14,380,17897,342046,269825,,,9000,7100,1230,7.38,47.09,1,57,2.12,5164,7846,,97.88,17517,46.09,15105,39.74,353,0.93,9349,24.6,284,0.75,1336,3.51,41,0.11,0
59,British Columbia,Colombie-Britannique,4/8/2020,,1336,0,48,1336,44269,49148,838,62.72,8600,9548,45,3.49,25.95,0.93,5,3.59,1012,792,55,33.68,450,8.74,677,13.15,34,0.66,270,5.25,23,0.45,39,0.75,3,0.06,1.07
48,Alberta,Alberta,4/8/2020,,1423,0,29,1423,66783,65692,,,15103,14856,50,3.64,32.18,0.66,3,2.04,1518,941,,97.96,1394,31.53,1004,22.71,27,0.61,669,15.13,20,0.45,96,2.16,3,0.06,0
47,Saskatchewan,Saskatchewan,4/8/2020,,271,0,3,271,15059,13806,,,12776,11713,11,4.23,22.99,0.25,0,1.11,856,544,,98.89,268,22.74,185,15.7,3,0.25,78,6.62,0,0,11,0.95,0,0,0
46,Manitoba,Manitoba,4/8/2020,,206,15,3,221,14569,14025,,,10563,10168,4,1.84,16.02,0.22,0,1.36,579,778,,98.64,218,15.81,186,13.49,3,0.22,94,6.82,2,0.15,13,0.97,0,0.02,0
35,Ontario,Ontario,4/8/2020,,5276,0,174,5276,85703,0,,,5817,,550,11.64,35.81,1.18,21,3.3,3648,0,,96.7,5102,34.63,4588,31.14,161,1.09,2884,19.57,137,0.93,412,2.8,20,0.13,0
24,Quebec,QuÃ©bec,4/8/2020,,10031,0,175,10031,109270,109702,,,12743,12794,691,7.4,116.99,2.04,25,1.74,4744,4458,,98.26,9856,114.94,8692,101.37,169,1.97,5420,63.21,142,1.66,774,9.03,20,0.24,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/8/2020,,232,0,2,232,4135,5484,,,7920,10504,4,1.75,44.44,0.38,0,0.86,177,188,,99.14,230,44.05,165,31.6,2,0.38,57,10.92,1,0.19,8,1.56,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,4/8/2020,,108,0,0,108,6477,6429,,,8288,8227,3,2.86,13.82,0,0,0,375,433,,100,108,13.82,82,10.49,0,0,27,3.46,0,0,4,0.49,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,4/8/2020,,342,0,1,342,12072,11178,,,12327,11414,32,10.32,34.92,0.1,1,0.29,513,531,,99.71,341,34.82,274,27.98,1,0.1,169,17.26,1,0.1,24,2.47,0,0.01,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/8/2020,,24,0,0,24,1347,888,,,8439,5563,2,9.09,15.04,0,0,0,408,13,,100,24,15.04,19,11.9,0,0,3,1.88,0,0,0,0.27,0,0,0
60,Yukon,Yukon,4/8/2020,,7,0,0,7,794,720,,,18881,17122,0,0,16.65,0,0,0,7,26,,100,7,16.65,4,9.51,0,0,2,4.76,0,0,0,0.68,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/8/2020,,5,0,0,5,1251,1245,,,27701,27568,0,0,11.07,0,0,0,21,13,,100,5,11.07,4,8.86,0,0,3,6.64,0,0,0,0.95,0,0,0
62,Nunavut,Nunavut,4/8/2020,,0,0,0,0,240,187,,,6099,4752,0,0,0,0,0,,6,10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/8/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,0,,0,,0,,0,,0,,0,,
1,Canada,Canada,4/8/2020,,19274,15,435,19289,362045,278552,,,9526,7329,1392,7.78,50.75,1.14,55,2.26,19999,8727,,97.74,18854,49.61,15880,41.78,400,1.05,9676,25.46,326,0.86,1382,3.64,47,0.12,0
59,British Columbia,Colombie-Britannique,4/9/2020,,1370,0,50,1370,45156,50272,858,62.63,8772,9766,34,2.54,26.61,0.97,2,3.65,887,1124,20,33.72,462,8.97,645,12.53,36,0.7,249,4.84,19,0.37,36,0.69,3,0.05,0.39
48,Alberta,Alberta,4/9/2020,,1451,0,32,1451,68116,67397,,,15404,15242,28,1.97,32.81,0.72,3,2.21,1333,1705,,97.79,1419,32.09,965,21.82,30,0.68,483,10.92,19,0.43,69,1.56,3,0.06,0
47,Saskatchewan,Saskatchewan,4/9/2020,,278,0,3,278,16059,14705,,,13625,12476,7,2.58,23.59,0.25,0,1.08,1000,899,,98.92,275,23.33,183,15.53,3,0.25,72,6.11,0,0,10,0.87,0,0,0
46,Manitoba,Manitoba,4/9/2020,,207,17,3,224,14569,14502,,,10563,10514,3,1.36,16.24,0.22,0,1.34,0,477,,98.66,221,16.02,188,13.63,3,0.22,57,4.13,2,0.15,8,0.59,0,0.02,0
35,Ontario,Ontario,4/9/2020,,5759,0,200,5759,89906,0,,,6102,,483,9.15,39.09,1.36,26,3.47,4203,0,,96.53,5559,37.73,4901,33.26,185,1.26,2966,20.13,147,1,424,2.88,21,0.14,0
24,Quebec,QuÃ©bec,4/9/2020,,10912,0,216,10912,113365,114820,,,13221,13391,881,8.78,127.26,2.52,41,1.98,4095,5118,,98.02,10696,124.74,9283,108.26,208,2.43,5394,62.91,180,2.1,771,8.99,26,0.3,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/9/2020,,236,0,3,236,4384,5767,,,8397,11046,4,1.72,45.2,0.57,1,1.27,249,283,,98.73,233,44.63,154,29.5,3,0.57,53,10.15,2,0.38,8,1.45,0,0.05,0
13,New Brunswick,Nouveau-Brunswick,4/9/2020,,111,0,0,111,6949,6824,,,8892,8732,3,2.78,14.2,0,0,0,472,395,,100,111,14.2,78,9.98,0,0,20,2.56,0,0,3,0.37,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,4/9/2020,,373,0,2,373,13045,11890,,,13320,12141,31,9.06,38.09,0.2,1,0.54,973,712,,99.46,371,37.88,300,30.63,2,0.2,180,18.38,2,0.2,26,2.63,0,0.03,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,4/9/2020,,25,0,0,25,1435,988,,,8990,6190,1,4.17,15.66,0,0,0,88,100,,100,25,15.66,16,10.02,0,0,3,1.88,0,0,0,0.27,0,0,0
60,Yukon,Yukon,4/9/2020,,8,0,0,8,806,722,,,19167,17169,1,14.29,19.02,0,0,0,12,2,,100,8,19.02,5,11.89,0,0,2,4.76,0,0,0,0.68,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/9/2020,,5,0,0,5,1265,1245,,,28011,27568,0,0,11.07,0,0,0,14,0,,100,5,11.07,4,8.86,0,0,3,6.64,0,0,0,0.95,0,0,0
62,Nunavut,Nunavut,4/9/2020,,0,0,0,0,247,199,,,6277,5057,0,0,0,0,0,,7,12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,4/9/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,0,,0,,0,,0,,0,,0,,
