pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/28/2020,,11,0,0,11,422,389,1,9.09,2644,2437,0,0,6.89,0,0,0,0,147,0,90.91,10,6.26,11,6.89,0,0,9,5.64,0,0,1,0.81,0,0,0
60,Yukon,Yukon,3/28/2020,,4,0,0,4,641,449,,,15243,10677,1,33.33,9.51,0,0,0,38,66,,100,4,9.51,4,9.51,0,0,4,9.51,0,0,1,1.36,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/28/2020,,1,0,0,1,740,557,,,16386,12334,0,0,2.21,0,0,0,195,36,,100,1,2.21,1,2.21,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,3/28/2020,,0,0,0,0,125,70,,,3176,1779,0,0,0,0,0,,0,16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,3/28/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,11,,0,,0,,0,,0,,0,,
1,Canada,Canada,3/28/2020,,5386,39,59,5425,187524,137153,502,9.25,4934,3609,736,15.7,14.27,0.16,6,1.09,16804,12487,246,89.66,4864,12.8,5226,13.75,57,0.15,4054,10.67,41,0.11,579,1.52,6,0.02,0.65
59,British Columbia,Colombie-Britannique,3/29/2020,,884,0,17,884,33476,37332,396,44.8,6503,7252,0,0,17.17,0.33,1,1.92,1940,2186,0,53.28,471,9.15,811,15.75,16,0.31,460,8.94,7,0.14,66,1.28,1,0.02,0
48,Alberta,Alberta,3/29/2020,,621,0,2,621,44097,41023,73,11.76,9972,9277,79,14.58,14.04,0.05,0,0.32,5882,3697,20,87.92,546,12.35,582,13.16,2,0.05,362,8.19,1,0.02,52,1.17,0,0,0.45
47,Saskatchewan,Saskatchewan,3/29/2020,,134,0,0,134,8822,7332,4,2.99,7485,6221,0,0,11.37,0,0,0,813,668,1,97.01,130,11.03,132,11.2,0,0,82,6.96,0,0,12,0.99,0,0,0.08
46,Manitoba,Manitoba,3/29/2020,,69,3,1,72,7876,6910,1,1.39,5710,5010,8,12.5,5.22,0.07,0,1.39,945,917,0,97.22,70,5.08,68,4.93,1,0.07,53,3.84,1,0.07,8,0.55,0,0.01,0
